Book title,Price,Availability,Rating,Product page link,Rating_num
A Light in the Attic,51.77,In stock,Three,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,3
Tipping the Velvet,53.74,In stock,One,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,1
Soumission,50.1,In stock,One,https://books.toscrape.com/catalogue/soumission_998/index.html,1
Sharp Objects,47.82,In stock,Four,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,4
Sapiens: A Brief History of Humankind,54.23,In stock,Five,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,5
The Requiem Red,22.65,In stock,One,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,Four,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,Three,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,Four,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,4
The Black Maria,52.15,In stock,One,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,Two,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2
Shakespeare's Sonnets,20.66,In stock,Four,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,4
Set Me Free,17.46,In stock,Five,https://books.toscrape.com/catalogue/set-me-free_988/index.html,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,Five,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,5
Rip it Up and Start Again,35.02,In stock,Five,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,Three,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,3
Olio,23.88,In stock,One,https://books.toscrape.com/catalogue/olio_984/index.html,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,One,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1
Libertarianism for Beginners,51.33,In stock,Two,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,2
It's Only the Himalayas,45.17,In stock,Two,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,2
